PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8;PC9;PC10;PC11;PC12;PC13;PC14;PC15
-1.974304088;-1.557350152;-0.490820991;-0.44409732;-0.616920515;-0.362193313;1.053583367;0.236862883;0.072565259;-0.217452329;0.000499384;0.272306533;-0.324380778;0.317817982;-0.203170679
0.860655668;0.700760998;-1.295793103;-0.257318539;-0.631085026;0.214853744;0.548627813;0.206705314;-0.009116019;0.196261302;0.33889392;-0.088239019;-0.092668733;0.447264328;0.075066078
-0.829227904;0.040413372;0.911183154;0.84542801;-0.792323044;0.253743185;-0.109676048;-0.72071024;-0.438672265;-0.437117085;-0.792761287;-0.612796772;0.360726115;0.067693445;0.212315358
5.808212745;-1.764232939;-0.267595244;-0.088502121;0.74773876;-0.907804751;-0.158857516;-0.522854966;0.402098381;0.061782722;-0.42491773;0.996338011;-0.007277799;-0.018387422;-0.080534158
-2.618277642;-0.20126684;-0.049915969;-0.357926015;-0.576489371;0.773789043;0.404971793;-0.0704814;-1.389612254;0.657693607;-0.217004083;0.411683597;-0.445710999;0.252840801;0.322841746
0.872328174;-0.567514393;-1.120260867;0.065189234;-0.835899032;-0.080608038;-0.258742292;-0.830881272;-1.0265211;-0.569500187;-0.393087477;-0.640413701;-0.267763614;0.363467537;0.262920492
-2.706012348;-0.906463797;0.371000452;-0.608015569;0.622796292;-0.082561906;0.483522652;-0.067528935;0.180279626;0.38030032;0.665019874;-0.008918808;1.144565685;0.399711679;-0.148389431
-3.96380919;-0.187470517;0.855534926;1.688571251;0.981859184;0.160285473;-0.770896603;0.161268226;0.24183338;-0.143743471;-0.320843991;0.011488167;0.420491662;0.051447155;0.215322041
-0.463577286;-0.233526105;-0.739673927;0.415752346;0.27277027;0.494636131;0.518429679;0.022904127;0.509413406;0.331531341;-0.771096057;-0.258808348;-0.82102584;-0.795494658;0.245560413
-1.688800129;0.604269593;-0.663300254;-0.040977604;-0.086610977;-0.35431239;-0.166477762;0.712409129;0.39322201;-0.435997897;0.544752203;-0.870731194;-0.63859087;0.309076794;-0.000650515
-3.179396908;0.343889065;0.152441887;0.212243505;0.754774523;-0.061154342;0.93861824;-0.134591817;0.015549793;1.28167563;0.028150557;-0.184686847;-0.216961309;0.738078891;-0.017473882
-2.278645905;0.180339563;-0.596761802;-0.661873277;0.584072607;0.168140856;0.059608073;0.07771474;0.850491184;0.246366379;-0.622410958;-0.459965246;0.925791448;-0.077036645;0.071499556
-3.486999415;-0.029785511;0.198037448;0.820145017;0.565293265;0.934869524;-0.478388027;0.353432023;-0.542482373;-0.569167955;-0.993240165;0.562493623;-0.355589414;0.370013811;0.178799441
-3.831280759;-0.776426208;-0.191275653;-0.531761178;0.388324316;0.560939632;-1.083935236;-0.139536094;0.639381393;0.710068516;0.23980374;-1.116523178;-0.277906114;-0.384011178;-0.515624671
1.985292731;0.848544176;0.133259323;-0.901069507;-0.283346779;-0.469029007;-0.287479563;0.190532689;0.309257815;-0.894975656;0.387463364;-0.069012647;-0.91858895;-0.648069103;0.078204619
-1.355075118;-1.214001817;-0.89723904;0.17257142;0.086746377;0.145495621;0.331437366;-1.629889006;-1.438082739;-0.405380947;0.288137969;0.155663885;-0.150108796;0.308051724;0.28061541
3.51440941;0.424538688;0.436248276;-0.450070832;-0.130618671;0.085409607;0.130580048;0.741928562;0.040890387;-0.673547223;-0.972540669;0.53624522;-0.080835278;-0.680397423;-0.011176912
-1.930863755;0.019060795;-0.639558848;-0.387358843;0.276154596;0.456220566;0.235478264;-0.028274917;0.205724775;0.770314197;-0.022918378;-0.566136835;-0.018901918;-0.828495135;-0.122611758
